date,country_code,A,B
2019-12-01,AG,-15,-26
2020-01-01,AG,-17,-28
2020-02-01,AG,-15,-29
2020-03-01,AG,-17,-28
2020-04-01,AG,-17,-29
2020-05-01,AG,-18,-29
2020-06-01,AG,-17,-31
2020-07-01,AG,-19,-30
2020-08-01,AG,-21,-29
2020-09-01,AG,-21,-30
2020-10-01,AG,-21,-28
2020-11-01,AG,-22,-28
2020-12-01,AG,-20,-30
2021-01-01,AG,-21,-29
2021-02-01,AG,-20,-31
2021-03-01,AG,-21,-32
2021-04-01,AG,-22,-31
2021-05-01,AG,-21,-31
2021-06-01,AG,-21,-29
2021-07-01,AG,-20,-28
2021-08-01,AG,-21,-26
2021-09-01,AG,-23,-27
2021-10-01,AG,-21,-26
2021-11-01,AG,-21,-28
2021-12-01,AG,-22,-27
2022-01-01,AG,-21,-29
2022-02-01,AG,-21,-30
2022-03-01,AG,-23,-28
2022-04-01,AG,-24,-27
2022-05-01,AG,-26,-28
2022-06-01,AG,-26,-29
2022-07-01,AG,-27,-28
2022-08-01,AG,-27,-26
2022-09-01,AG,-28,-28
2022-10-01,AG,-27,-30
2022-11-01,AG,-26,-30
2022-12-01,AG,-28,-31
2023-01-01,AG,-26,-31
2023-02-01,AG,-27,-29
2023-03-01,AG,-28,-30
2023-04-01,AG,-26,-28
2023-05-01,AG,-26,-28
2023-06-01,AG,-28,-29
2023-07-01,AG,-30,-28
2023-08-01,AG,-28,-30
2023-09-01,AG,-26,-29
2023-10-01,AG,-26,-30
2023-11-01,AG,-26,-32
2023-12-01,AG,-25,-32
2024-01-01,AG,-25,-30
2024-02-01,AG,-26,-29
2024-03-01,AG,-25,-28
2015-01-01,AI,-1,-2
2015-02-01,AI,0,-4
2015-03-01,AI,2,-4
2015-04-01,AI,3,-5
2015-05-01,AI,5,-7
2015-06-01,AI,4,-8
2015-07-01,AI,6,-9
2015-08-01,AI,4,-7
2015-09-01,AI,4,-5
2015-10-01,AI,6,-5
2015-11-01,AI,5,-6
2015-12-01,AI,3,-8
2016-01-01,AI,4,-6
2016-02-01,AI,4,-6
2016-03-01,AI,4,-5
2016-04-01,AI,3,-6
2016-05-01,AI,2,-4
2016-06-01,AI,1,-5
2016-07-01,AI,3,-4
2016-08-01,AI,4,-2
2016-09-01,AI,3,-1
2016-10-01,AI,5,0
2016-11-01,AI,6,-1
2016-12-01,AI,8,-3
2017-01-01,AI,10,-3
2017-02-01,AI,12,-2
2017-03-01,AI,12,-3
2017-04-01,AI,11,-5
2017-05-01,AI,11,-4
2017-06-01,AI,11,-2
2017-07-01,AI,11,0
2017-08-01,AI,9,1
2017-09-01,AI,8,3
2017-10-01,AI,9,2
2017-11-01,AI,8,1
2017-12-01,AI,10,3
2018-01-01,AI,11,4
2018-02-01,AI,11,2
2018-03-01,AI,12,1
2018-04-01,AI,11,2
2018-05-01,AI,10,3
2018-06-01,AI,11,4
2018-07-01,AI,13,2
2018-08-01,AI,15,1
2018-09-01,AI,16,0
2018-10-01,AI,15,2
2018-11-01,AI,15,3
2018-12-01,AI,14,1
2019-01-01,AI,13,3
2019-02-01,AI,12,3
2019-03-01,AI,12,2
2019-04-01,AI,14,2
2019-05-01,AI,16,4
2019-06-01,AI,18,5
2019-07-01,AI,20,6
2019-08-01,AI,18,5
2019-09-01,AI,20,7
2019-10-01,AI,22,5
2019-11-01,AI,22,5
2019-12-01,AI,23,3
2020-01-01,AI,23,4
2020-02-01,AI,22,3
2020-03-01,AI,20,1
2020-04-01,AI,19,3
2020-05-01,AI,17,1
2020-06-01,AI,17,-1
2020-07-01,AI,19,0
2020-08-01,AI,18,-1
2020-09-01,AI,20,-1
2020-10-01,AI,20,1
2020-11-01,AI,19,2
2020-12-01,AI,18,4
2021-01-01,AI,18,2
2021-02-01,AI,17,1
2021-03-01,AI,18,-1
2021-04-01,AI,17,-3
2021-05-01,AI,16,-2
2021-06-01,AI,15,-3
2021-07-01,AI,15,-5
2021-08-01,AI,15,-3
2021-09-01,AI,14,-2
2021-10-01,AI,15,-2
2021-11-01,AI,17,-4
2021-12-01,AI,19,-4
2022-01-01,AI,18,-6
2022-02-01,AI,17,-6
2022-03-01,AI,19,-6
2022-04-01,AI,17,-8
2022-05-01,AI,18,-6
2022-06-01,AI,18,-5
2022-07-01,AI,17,-4
2022-08-01,AI,19,-6
2022-09-01,AI,21,-6
2022-10-01,AI,21,-5
2022-11-01,AI,19,-5
2022-12-01,AI,19,-7
2023-01-01,AI,20,-9
2023-02-01,AI,21,-9
2023-03-01,AI,19,-7
2023-04-01,AI,18,-7
2023-05-01,AI,17,-6
2023-06-01,AI,19,-7
2023-07-01,AI,21,-8
2023-08-01,AI,21,-10
2023-09-01,AI,21,-11
2023-10-01,AI,23,-12
2023-11-01,AI,22,-13
2023-12-01,AI,20,-15
2024-01-01,AI,20,-13
2024-02-01,AI,21,-13
2024-03-01,AI,21,-12
2015-01-01,AR,-1,-1
2015-02-01,AR,0,-2
2015-03-01,AR,-2,-1
2015-04-01,AR,-3,0
2015-05-01,AR,-1,2
2015-06-01,AR,-1,3
2015-07-01,AR,-3,3
2015-08-01,AR,-5,3
2015-09-01,AR,-3,3
2015-10-01,AR,-3,5
2015-11-01,AR,-4,6
2015-12-01,AR,-2,4
2016-01-01,AR,-1,5
2016-02-01,AR,-1,6
2016-03-01,AR,-1,5
2016-04-01,AR,-3,6
2016-05-01,AR,-3,8
2016-06-01,AR,-4,10
2016-07-01,AR,-2,10
2016-08-01,AR,-4,12
2016-09-01,AR,-3,13
2016-10-01,AR,-3,13
2016-11-01,AR,-2,12
2016-12-01,AR,-2,12
2017-01-01,AR,0,12
2017-02-01,AR,1,12
2017-03-01,AR,3,11
2017-04-01,AR,3,10
2017-05-01,AR,1,10
2017-06-01,AR,-1,12
2017-07-01,AR,-2,14
2017-08-01,AR,-2,14
2017-09-01,AR,-2,12
2017-10-01,AR,0,10
2017-11-01,AR,2,8
2017-12-01,AR,3,8
2018-01-01,AR,2,7
2018-02-01,AR,1,6
2018-03-01,AR,1,8
2018-04-01,AR,3,6
2018-05-01,AR,5,5
2018-06-01,AR,3,4
2018-07-01,AR,2,3
2018-08-01,AR,4,3
2018-09-01,AR,4,1
2018-10-01,AR,5,1
2018-11-01,AR,4,3
2018-12-01,AR,2,2
2019-01-01,AR,4,4
2019-02-01,AR,3,5
2019-03-01,AR,5,6
2019-04-01,AR,5,5
2019-05-01,AR,4,4
2019-06-01,AR,5,2
2019-07-01,AR,6,4
2019-08-01,AR,4,2
2019-09-01,AR,6,3
2019-10-01,AR,8,2
2019-11-01,AR,6,3
2019-12-01,AR,8,5
2020-01-01,AR,10,3
2020-02-01,AR,12,1
2020-03-01,AR,11,3
2020-04-01,AR,12,3
2020-05-01,AR,10,3
2020-06-01,AR,9,3
2020-07-01,AR,7,2
2020-08-01,AR,5,0
2020-09-01,AR,6,-1
2020-10-01,AR,7,-1
2020-11-01,AR,5,-2
2020-12-01,AR,7,-1
2021-01-01,AR,6,0
2021-02-01,AR,4,2
2021-03-01,AR,2,4
2021-04-01,AR,3,2
2021-05-01,AR,3,2
2021-06-01,AR,4,3
2021-07-01,AR,5,4
2021-08-01,AR,6,2
2021-09-01,AR,5,2
2021-10-01,AR,4,0
2021-11-01,AR,6,1
2021-12-01,AR,8,1
2022-01-01,AR,8,3
2022-02-01,AR,8,5
2022-03-01,AR,7,5
2022-04-01,AR,5,3
2022-05-01,AR,6,2
2022-06-01,AR,8,4
2022-07-01,AR,8,4
2022-08-01,AR,8,6
2022-09-01,AR,6,4
2022-10-01,AR,5,5
2022-11-01,AR,6,3
2022-12-01,AR,6,5
2023-01-01,AR,7,5
2023-02-01,AR,6,7
2023-03-01,AR,8,6
2023-04-01,AR,10,7
2023-05-01,AR,11,9
2023-06-01,AR,10,11
2023-07-01,AR,9,9
2023-08-01,AR,9,9
2023-09-01,AR,9,10
2023-10-01,AR,8,9
2023-11-01,AR,7,11
2023-12-01,AR,8,12
2024-01-01,AR,9,12
2024-02-01,AR,7,14
2024-03-01,AR,9,13
2015-01-01,AT,-1,0
2015-02-01,AT,-3,2
2015-03-01,AT,-3,2
2015-04-01,AT,-3,0
2015-05-01,AT,-1,1
2015-06-01,AT,1,0
2015-07-01,AT,1,0
2015-08-01,AT,0,2
2015-09-01,AT,-1,2
2015-10-01,AT,0,0
2015-11-01,AT,2,1
2015-12-01,AT,3,-1
2016-01-01,AT,2,-1
2016-02-01,AT,0,0
2016-03-01,AT,1,-2
2016-04-01,AT,2,0
2016-05-01,AT,2,0
2016-06-01,AT,4,0
2016-07-01,AT,6,1
2016-08-01,AT,6,2
2016-09-01,AT,7,3
2016-10-01,AT,6,4
2016-11-01,AT,8,6
2016-12-01,AT,9,7
2017-01-01,AT,7,6
2017-02-01,AT,5,8
2017-03-01,AT,3,10
2017-04-01,AT,2,11
2017-05-01,AT,0,12
2017-06-01,AT,2,14
2017-07-01,AT,2,16
2017-08-01,AT,1,15
2017-09-01,AT,0,13
2017-10-01,AT,0,11
2017-11-01,AT,0,13
2017-12-01,AT,1,15
2018-01-01,AT,1,15
2018-02-01,AT,-1,14
2018-03-01,AT,-2,12
2018-04-01,AT,-3,10
2018-05-01,AT,-3,10
2018-06-01,AT,-1,8
2018-07-01,AT,-2,9
2018-08-01,AT,-4,8
2018-09-01,AT,-4,8
2018-10-01,AT,-2,9
2018-11-01,AT,-1,9
2018-12-01,AT,-2,10
2019-01-01,AT,-2,9
2019-02-01,AT,-3,11
2019-03-01,AT,-2,13
2019-04-01,AT,-3,11
2019-05-01,AT,-1,9
2019-06-01,AT,-1,10
2019-07-01,AT,-1,12
2019-08-01,AT,-2,14
2019-09-01,AT,-4,13
2019-10-01,AT,-2,14
2019-11-01,AT,-1,16
2019-12-01,AT,-3,18
2020-01-01,AT,-3,20
2020-02-01,AT,-5,18
2020-03-01,AT,-5,19
2020-04-01,AT,-3,21
2020-05-01,AT,-3,22
2020-06-01,AT,-1,24
2020-07-01,AT,1,22
2020-08-01,AT,1,22
2020-09-01,AT,2,21
2020-10-01,AT,3,20
2020-11-01,AT,3,18
2020-12-01,AT,2,19
2021-01-01,AT,1,18
2021-02-01,AT,0,16
2021-03-01,AT,2,15
2021-04-01,AT,1,17
2021-05-01,AT,3,16
2021-06-01,AT,2,15
2021-07-01,AT,1,13
2021-08-01,AT,3,14
2021-09-01,AT,5,12
2021-10-01,AT,6,13
2021-11-01,AT,7,11
2021-12-01,AT,6,10
2022-01-01,AT,6,8
2022-02-01,AT,4,9
2022-03-01,AT,4,10
2022-04-01,AT,6,10
2022-05-01,AT,8,12
2022-06-01,AT,10,10
2022-07-01,AT,12,9
2022-08-01,AT,12,10
2022-09-01,AT,12,10
2022-10-01,AT,10,12
2022-11-01,AT,9,12
2022-12-01,AT,8,13
2023-01-01,AT,6,12
2023-02-01,AT,7,13
2023-03-01,AT,9,11
2023-04-01,AT,9,11
2023-05-01,AT,9,9
2023-06-01,AT,7,7
2023-07-01,AT,9,8
2023-08-01,AT,9,8
2023-09-01,AT,11,10
2023-10-01,AT,12,11
2023-11-01,AT,14,9
2023-12-01,AT,16,11
2024-01-01,AT,14,13
2024-02-01,AT,13,12
2024-03-01,AT,14,12
2015-01-01,AU,-2,0
2015-02-01,AU,-3,-1
2015-03-01,AU,-1,-2
2015-04-01,AU,-3,-1
2015-05-01,AU,-5,-3
2015-06-01,AU,-7,-2
2015-07-01,AU,-6,-2
2015-08-01,AU,-4,-2
2015-09-01,AU,-5,-1
2015-10-01,AU,-5,1
2015-11-01,AU,-6,2
2015-12-01,AU,-5,0
2016-01-01,AU,-3,2
2016-02-01,AU,-2,0
2016-03-01,AU,-3,-1
2016-04-01,AU,-5,-2
2016-05-01,AU,-4,-2
2016-06-01,AU,-5,-3
2016-07-01,AU,-7,-4
2016-08-01,AU,-5,-2
2016-09-01,AU,-6,-1
2016-10-01,AU,-6,-2
2016-11-01,AU,-5,-1
2016-12-01,AU,-5,-2
2017-01-01,AU,-7,0
2017-02-01,AU,-6,-2
2017-03-01,AU,-7,-3
2017-04-01,AU,-6,-2
2017-05-01,AU,-4,-4
2017-06-01,AU,-3,-6
2017-07-01,AU,-2,-8
2017-08-01,AU,-4,-7
2017-09-01,AU,-6,-6
2017-10-01,AU,-5,-6
2017-11-01,AU,-7,-8
2017-12-01,AU,-5,-6
2018-01-01,AU,-5,-5
2018-02-01,AU,-7,-7
2018-03-01,AU,-8,-8
2018-04-01,AU,-10,-9
2018-05-01,AU,-11,-9
2018-06-01,AU,-13,-8
2018-07-01,AU,-15,-6
2018-08-01,AU,-15,-7
2018-09-01,AU,-14,-6
2018-10-01,AU,-13,-4
2018-11-01,AU,-11,-3
2018-12-01,AU,-9,-1
2019-01-01,AU,-11,1
2019-02-01,AU,-13,1
2019-03-01,AU,-11,-1
2019-04-01,AU,-12,1
2019-05-01,AU,-14,0
2019-06-01,AU,-15,2
2019-07-01,AU,-16,2
2019-08-01,AU,-18,1
2019-09-01,AU,-18,2
2019-10-01,AU,-16,1
2019-11-01,AU,-15,-1
2019-12-01,AU,-16,-2
2020-01-01,AU,-14,-3
2020-02-01,AU,-14,-4
2020-03-01,AU,-16,-5
2020-04-01,AU,-17,-5
2020-05-01,AU,-19,-7
2020-06-01,AU,-18,-5
2020-07-01,AU,-18,-5
2020-08-01,AU,-17,-7
2020-09-01,AU,-17,-5
2020-10-01,AU,-19,-4
2020-11-01,AU,-20,-6
2020-12-01,AU,-18,-4
2021-01-01,AU,-20,-2
2021-02-01,AU,-22,-1
2021-03-01,AU,-24,-2
2021-04-01,AU,-26,-2
2021-05-01,AU,-27,-4
2021-06-01,AU,-25,-2
2021-07-01,AU,-23,-2
2021-08-01,AU,-21,-3
2021-09-01,AU,-21,-2
2021-10-01,AU,-23,0
2021-11-01,AU,-25,0
2021-12-01,AU,-25,-1
2022-01-01,AU,-27,-3
2022-02-01,AU,-29,-1
2022-03-01,AU,-27,1
2022-04-01,AU,-26,0
2022-05-01,AU,-24,1
2022-06-01,AU,-25,1
2022-07-01,AU,-26,-1
2022-08-01,AU,-24,0
2022-09-01,AU,-26,2
2022-10-01,AU,-28,4
2022-11-01,AU,-29,5
2022-12-01,AU,-31,5
2023-01-01,AU,-32,3
2023-02-01,AU,-32,2
2023-03-01,AU,-31,2
2023-04-01,AU,-30,0
2023-05-01,AU,-28,2
2023-06-01,AU,-30,3
2023-07-01,AU,-29,3
2023-08-01,AU,-31,2
2023-09-01,AU,-33,4
2023-10-01,AU,-34,6
2023-11-01,AU,-34,8
2023-12-01,AU,-35,6
2024-01-01,AU,-35,5
2024-02-01,AU,-36,7
2024-03-01,AU,-35,8
2015-01-01,BB,1,2
2015-02-01,BB,-1,4
2015-03-01,BB,0,2
2015-04-01,BB,-2,0
2015-05-01,BB,-3,-1
2015-06-01,BB,-5,0
2015-07-01,BB,-7,2
2015-08-01,BB,-5,4
2015-09-01,BB,-5,4
2015-10-01,BB,-5,6
2015-11-01,BB,-3,4
2015-12-01,BB,-2,5
2016-01-01,BB,-4,6
2016-02-01,BB,-6,8
2016-03-01,BB,-4,9
2016-04-01,BB,-6,8
2016-05-01,BB,-6,9
2016-06-01,BB,-6,9
2016-07-01,BB,-4,7
2016-08-01,BB,-4,7
2016-09-01,BB,-3,6
2016-10-01,BB,-3,4
2016-11-01,BB,-1,4
2016-12-01,BB,-1,6
2017-01-01,BB,0,6
2017-02-01,BB,2,6
2017-03-01,BB,3,8
2017-04-01,BB,5,7
2017-05-01,BB,5,6
2017-06-01,BB,3,7
2017-07-01,BB,2,7
2017-08-01,BB,1,7
2017-09-01,BB,1,5
2017-10-01,BB,-1,3
2017-11-01,BB,-3,5
2017-12-01,BB,-2,7
2018-01-01,BB,0,8
2018-02-01,BB,-1,9
2018-03-01,BB,-2,10
2018-04-01,BB,0,8
2018-05-01,BB,0,6
2018-06-01,BB,2,4
2018-07-01,BB,2,3
2018-08-01,BB,1,3
2018-09-01,BB,2,1
2018-10-01,BB,4,-1
2018-11-01,BB,4,-1
2018-12-01,BB,6,-1
2019-01-01,BB,5,0
2019-02-01,BB,3,2
2019-03-01,BB,5,4
2019-04-01,BB,6,6
2019-05-01,BB,7,8
2019-06-01,BB,8,6
2019-07-01,BB,8,8
2019-08-01,BB,10,6
2019-09-01,BB,11,6
2019-10-01,BB,13,4
2019-11-01,BB,13,6
2019-12-01,BB,11,7
2020-01-01,BB,10,6
2020-02-01,BB,10,7
2020-03-01,BB,12,8
2020-04-01,BB,10,6
2020-05-01,BB,9,7
2020-06-01,BB,7,8
2020-07-01,BB,9,6
2020-08-01,BB,8,7
2020-09-01,BB,6,6
2020-10-01,BB,4,5
2020-11-01,BB,5,6
2020-12-01,BB,3,6
2021-01-01,BB,3,7
2021-02-01,BB,1,5
2021-03-01,BB,-1,6
2021-04-01,BB,-3,8
2021-05-01,BB,-4,6
2021-06-01,BB,-3,6
2021-07-01,BB,-4,6
2021-08-01,BB,-2,6
2021-09-01,BB,-1,6
2021-10-01,BB,-3,4
2021-11-01,BB,-3,3
2021-12-01,BB,-2,1
2022-01-01,BB,-2,1
2022-02-01,BB,-1,3
2022-03-01,BB,0,5
2022-04-01,BB,-1,5
2022-05-01,BB,-3,7
2022-06-01,BB,-4,8
2022-07-01,BB,-4,10
2022-08-01,BB,-6,12
2022-09-01,BB,-7,12
2022-10-01,BB,-8,12
2022-11-01,BB,-9,13
2022-12-01,BB,-11,12
2023-01-01,BB,-12,11
2023-02-01,BB,-10,11
2023-03-01,BB,-11,10
2023-04-01,BB,-9,10
2023-05-01,BB,-8,12
2023-06-01,BB,-7,11
2023-07-01,BB,-7,11
2023-08-01,BB,-5,9
2023-09-01,BB,-7,9
2023-10-01,BB,-6,10
2023-11-01,BB,-4,11
2023-12-01,BB,-5,12
2024-01-01,BB,-3,12
2024-02-01,BB,-4,14
2024-03-01,BB,-6,13
2015-01-01,BE,0,-2
2015-02-01,BE,-1,-1
2015-03-01,BE,-3,0
2015-04-01,BE,-4,-2
2015-05-01,BE,-2,-4
2015-06-01,BE,-1,-3
2015-07-01,BE,-3,-4
2015-08-01,BE,-2,-5
2015-09-01,BE,0,-6
2015-10-01,BE,-1,-5
2015-11-01,BE,-3,-7
2015-12-01,BE,-4,-9
2016-01-01,BE,-6,-9
2016-02-01,BE,-7,-10
2016-03-01,BE,-8,-10
2016-04-01,BE,-10,-8
2016-05-01,BE,-9,-9
2016-06-01,BE,-8,-7
2016-07-01,BE,-9,-8
2016-08-01,BE,-10,-10
2016-09-01,BE,-12,-12
2016-10-01,BE,-10,-13
2016-11-01,BE,-11,-15
2016-12-01,BE,-11,-14
2017-01-01,BE,-9,-16
2017-02-01,BE,-10,-15
2017-03-01,BE,-10,-15
2017-04-01,BE,-10,-15
2017-05-01,BE,-8,-15
2017-06-01,BE,-10,-15
2017-07-01,BE,-9,-17
2017-08-01,BE,-9,-16
2017-09-01,BE,-11,-18
2017-10-01,BE,-11,-16
2017-11-01,BE,-10,-15
2017-12-01,BE,-12,-17
2018-01-01,BE,-10,-15
2018-02-01,BE,-10,-13
2018-03-01,BE,-8,-11
2018-04-01,BE,-6,-9
2018-05-01,BE,-7,-10
2018-06-01,BE,-8,-12
2018-07-01,BE,-9,-12
2018-08-01,BE,-8,-14
2018-09-01,BE,-7,-15
2018-10-01,BE,-5,-14
2018-11-01,BE,-4,-13
2018-12-01,BE,-3,-12
2019-01-01,BE,-1,-10
2019-02-01,BE,-2,-9
2019-03-01,BE,0,-7
2019-04-01,BE,2,-7
2019-05-01,BE,2,-9
2019-06-01,BE,0,-10
2019-07-01,BE,-2,-9
2019-08-01,BE,-2,-8
2019-09-01,BE,-3,-10
2019-10-01,BE,-5,-10
2019-11-01,BE,-6,-10
2019-12-01,BE,-7,-10
2020-01-01,BE,-5,-12
2020-02-01,BE,-4,-13
2020-03-01,BE,-4,-13
2020-04-01,BE,-4,-12
2020-05-01,BE,-2,-14
2020-06-01,BE,-2,-14
2020-07-01,BE,-4,-14
2020-08-01,BE,-5,-12
2020-09-01,BE,-5,-13
2020-10-01,BE,-6,-11
2020-11-01,BE,-4,-9
2020-12-01,BE,-2,-8
2021-01-01,BE,-2,-8
2021-02-01,BE,0,-9
2021-03-01,BE,-2,-9
2021-04-01,BE,-1,-7
2021-05-01,BE,-3,-6
2021-06-01,BE,-2,-4
2021-07-01,BE,-2,-3
2021-08-01,BE,0,-4
2021-09-01,BE,-1,-4
2021-10-01,BE,-3,-3
2021-11-01,BE,-2,-3
2021-12-01,BE,-2,-5
2022-01-01,BE,0,-4
2022-02-01,BE,0,-4
2022-03-01,BE,2,-5
2022-04-01,BE,1,-7
2022-05-01,BE,1,-5
2022-06-01,BE,1,-4
2022-07-01,BE,0,-3
2022-08-01,BE,2,-3
2022-09-01,BE,2,-2
2022-10-01,BE,1,0
2022-11-01,BE,0,1
2022-12-01,BE,2,2
2023-01-01,BE,4,3
2023-02-01,BE,4,3
2023-03-01,BE,3,2
2023-04-01,BE,4,3
2023-05-01,BE,4,1
2023-06-01,BE,2,-1
2023-07-01,BE,1,-3
2023-08-01,BE,-1,-4
2023-09-01,BE,-3,-4
2023-10-01,BE,-5,-3
2023-11-01,BE,-5,-4
2023-12-01,BE,-3,-2
2024-01-01,BE,-3,-2
2024-02-01,BE,-5,-3
2024-03-01,BE,-7,-1
2015-01-01,BG,-2,-2
2015-02-01,BG,-1,0
2015-03-01,BG,1,2
2015-04-01,BG,-1,2
2015-05-01,BG,0,4
2015-06-01,BG,1,6
2015-07-01,BG,1,5
2015-08-01,BG,-1,3
2015-09-01,BG,-1,4
2015-10-01,BG,-2,5
2015-11-01,BG,-4,6
2015-12-01,BG,-6,4
2016-01-01,BG,-8,6
2016-02-01,BG,-7,8
2016-03-01,BG,-7,10
2016-04-01,BG,-5,8
2016-05-01,BG,-5,6
2016-06-01,BG,-6,6
2016-07-01,BG,-5,8
2016-08-01,BG,-3,8
2016-09-01,BG,-2,9
2016-10-01,BG,0,8
2016-11-01,BG,2,7
2016-12-01,BG,2,6
2017-01-01,BG,4,5
2017-02-01,BG,2,6
2017-03-01,BG,0,4
2017-04-01,BG,-1,6
2017-05-01,BG,-2,8
2017-06-01,BG,-4,7
2017-07-01,BG,-5,6
2017-08-01,BG,-5,6
2017-09-01,BG,-7,8
2017-10-01,BG,-6,9
2017-11-01,BG,-7,8
2017-12-01,BG,-9,8
2018-01-01,BG,-11,6
2018-02-01,BG,-13,8
2018-03-01,BG,-11,6
